,method,description
0,abs(),returns absolute value of a number
1,any(),Checks if any Element of an Iterable is True
2,all(),returns true when all elements in iterable is true
3,ascii(),Returns String Containing Printable Representation
4,bin(),converts integer to binary string
5,bool(),Converts a Value to Boolean 
6,bytearray(),returns array of given byte size
7,callable(),Checks if the Object is Callable
8,bytes(),returns immutable bytes object
9,chr(),Returns a Character (a string) from an Integer
10,compile(),Returns a Python code object
11,classmethod(),returns class method for given function
12,complex(),Creates a Complex Number
13,delattr(),Deletes Attribute From the Object
14,dict(),Creates a Dictionary
15,dir(),Tries to Return Attributes of Object
16,divmod(),Returns a Tuple of Quotient and Remainder
17,enumerate(),Returns an Enumerate Object
18,staticmethod(),transforms a method into a static method
19,filter(),constructs iterator from elements which are true
20,eval(),Runs Python Code Within Program
21,float(),"returns floating point number from number, string"
22,format(),returns formatted representation of a value
23,frozenset(),returns immutable frozenset object
24,getattr(),returns value of named attribute of an object
25,globals(),returns dictionary of current global symbol table
26,exec(),Executes Dynamically Created Program
27,hasattr(),returns whether object has named attribute
28,help(),Invokes the built-in Help System
29,hex(),Converts to Integer to Hexadecimal
30,hash(),returns hash value of an object
31,input(),reads and returns a line of string
32,id(),Returns Identify of an Object
33,isinstance(),Checks if a Object is an Instance of Class
34,int(),returns integer from a number or string
35,issubclass(),Checks if a Object is Subclass of a Class
36,iter(),returns an iterator
37,list(),creates a list in Python
38,locals(),Returns dictionary of a current local symbol table
39,len(),Returns Length of an Object
40,max(),returns the largest item
41,min(),returns the smallest value
42,map(),Applies Function and Returns a List
43,next(),Retrieves next item from the iterator
44,memoryview(),returns memory view of an argument
45,object(),creates a featureless object
46,oct(),returns the octal representation of an integer
47,ord(),returns an integer of the Unicode character
48,open(),Returns a file object
49,pow(),returns the power of a number
50,print(),Prints the Given Object
51,property(),returns the property attribute
52,range(),return sequence of integers between start and stop
53,repr(),returns a printable representation of the object
54,reversed(),returns the reversed iterator of a sequence
55,round(),rounds a number to specified decimals
56,set(),constructs and returns a set
57,setattr(),sets the value of an attribute of an object
58,slice(),returns a slice object
59,sorted(),returns a sorted list from the given iterable
60,str(),returns the string version of the object
61,sum(),Adds items of an Iterable
62,tuple(),Returns a tuple
63,type(),Returns the type of the object
64,vars(),Returns the __dict__ attribute
65,zip(),Returns an iterator of tuples
66,__import__(),Function called by the import statement
67,super(),Returns a proxy object of the base class
