,method,description
0,clear(),Removes all Items
1,copy(),Returns Shallow Copy of a Dictionary
2,fromkeys(),creates dictionary from given sequence
3,get(),Returns Value of The Key
4,items(),"returns view of dictionary's (key, value) pair"
5,keys(),Returns View Object of All Keys
6,popitem(),Returns & Removes Element From Dictionary
7,setdefault(),Inserts Key With a Value if Key is not Present
8,pop(),removes and returns element having given key
9,values(),returns view of all values in dictionary
10,update(),Updates the Dictionary
