,method,description_english,description_korean
0,remove(),Removes Element from the Set,세트에서 요소 제거
1,add(),adds element to a set,집합에 요소를 추가하다
2,copy(),Returns Shallow Copy of a Set,세트의 낮은 복사본 반환
3,clear(),remove all elements from a set,집합에서 모든 요소를 제거하다
4,difference(),Returns Difference of Two Sets,두 세트의 차이 반환
5,difference_update(),Updates Calling Set With Intersection of Sets,집합의 교차로가 포함된 호출 세트 업데이트
6,discard(),Removes an Element from The Set,세트에서 요소 제거
7,intersection(),Returns Intersection of Two or More Sets,둘 이상의 집합의 교차점 반환
8,intersection_update(),Updates Calling Set With Intersection of Sets,집합의 교차로가 포함된 호출 세트 업데이트
9,isdisjoint(),Checks Disjoint Sets,체크 디스 조인트 세트
10,issubset(),Checks if a Set is Subset of Another Set,세트가 다른 세트의 부분 집합인지 확인
11,issuperset(),Checks if a Set is Superset of Another Set,세트가 다른 세트의 슈퍼세트인지 확인
12,pop(),Removes an Arbitrary Element,임의 요소 제거
13,symmetric_difference(),Returns the symmetric difference of sets,세트의 대칭 차이 반환
14,symmetric_difference_update(),Updates the Set with symmetric difference,대칭 차이로 세트 업데이트
15,union(),Returns the union of sets,세트 조합 반환
16,update(),Add elements to the set,집합에 요소 추가
