,method,description
0,remove(),Removes Element from the Set
1,add(),adds element to a set
2,copy(),Returns Shallow Copy of a Set
3,clear(),remove all elements from a set
4,difference(),Returns Difference of Two Sets
5,difference_update(),Updates Calling Set With Intersection of Sets
6,discard(),Removes an Element from The Set
7,intersection(),Returns Intersection of Two or More Sets
8,intersection_update(),Updates Calling Set With Intersection of Sets
9,isdisjoint(),Checks Disjoint Sets
10,issubset(),Checks if a Set is Subset of Another Set
11,issuperset(),Checks if a Set is Superset of Another Set
12,pop(),Removes an Arbitrary Element
13,symmetric_difference(),Returns the symmetric difference of sets
14,symmetric_difference_update(),Updates the Set with symmetric difference
15,union(),Returns the union of sets
16,update(),Add elements to the set
