,method,description
0,capitalize(),Converts first character to Capital Letter
1,center(),Pads string with specified character
2,casefold(),converts to casefolded strings
3,count(),returns occurrences of substring in string
4,endswith(),Checks if String Ends with the Specified Suffix
5,expandtabs(),Replaces Tab character With Spaces
6,encode(),returns encoded string of given string
7,find(),Returns the index of first occurrence of substring
8,format(),formats string into nicer output
9,index(),Returns Index of Substring
10,isalnum(),Checks Alphanumeric Character
11,isalpha(),Checks if All Characters are Alphabets
12,isdecimal(),Checks Decimal Characters
13,isdigit(),Checks Digit Characters
14,isidentifier(),Checks for Valid Identifier
15,islower(),Checks if all Alphabets in a String are Lowercase
16,isnumeric(),Checks Numeric Characters
17,isprintable(),Checks Printable Character
18,isspace(),Checks Whitespace Characters
19,istitle(),Checks for Titlecased String
20,isupper(),returns if all characters are uppercase characters
21,join(),Returns a Concatenated String
22,ljust(),returns left-justified string of given width
23,rjust(),returns right-justified string of given width
24,lower(),returns lowercased string
25,upper(),returns uppercased string
26,swapcase(),swap uppercase characters to lowercase; vice versa
27,lstrip(),Removes Leading Characters
28,rstrip(),Removes Trailing Characters
29,strip(),Removes Both Leading and Trailing Characters
30,partition(),Returns a Tuple
31,maketrans(),returns a translation table
32,rpartition(),Returns a Tuple
33,translate(),returns mapped charactered string
34,replace(),Replaces Substring Inside
35,rfind(),Returns the Highest Index of Substring
36,rindex(),Returns Highest Index of Substring
37,split(),Splits String from Left
38,rsplit(),Splits String From Right
39,splitlines(),Splits String at Line Boundaries
40,startswith(),Checks if String Starts with the Specified String
41,title(),Returns a Title Cased String
42,zfill(),Returns a Copy of The String Padded With Zeros 
43,format_map(),Formats the String Using Dictionary
